"Event Date","Event Time","Mill Number","One Minute Mean"
"01/23/2021","09:48:00","24","168"
"01/23/2021","09:48:00","25","111"
"01/23/2021","09:48:00","26","90"
"01/23/2021","09:48:00","27","-54"
"01/23/2021","09:48:00","29","82"
"01/23/2021","09:48:00","30","169"
"01/23/2021","09:48:00","31","94"
"01/23/2021","09:48:00","32","76"
"01/23/2021","09:48:00","34","170"
"01/23/2021","09:49:00","1","164"
"01/23/2021","09:49:00","2","83"
"01/23/2021","09:49:00","4","141"
"01/23/2021","09:49:00","5","33"
"01/23/2021","09:49:00","6","181"
"01/23/2021","09:49:00","8","151"
"01/23/2021","09:49:00","9","161"
"01/23/2021","09:49:00","11","188"
"01/23/2021","09:49:00","12","186"
"01/23/2021","09:49:00","14","148"
"01/23/2021","09:49:00","15","116"
"01/23/2021","09:49:00","16","178"
"01/23/2021","09:49:00","17","215"
"01/23/2021","09:49:00","18","122"
"01/23/2021","09:49:00","19","206"
"01/23/2021","09:49:00","20","141"
"01/23/2021","09:49:00","21","86"
"01/23/2021","09:49:00","22","17"
"01/23/2021","09:49:00","24","165"
"01/23/2021","09:49:00","25","111"
"01/23/2021","09:49:00","26","80"
"01/23/2021","09:49:00","27","-60"
"01/23/2021","09:49:00","29","80"
"01/23/2021","09:49:00","30","172"
"01/23/2021","09:49:00","31","99"
"01/23/2021","09:49:00","32","78"
"01/23/2021","09:49:00","34","170"
"01/23/2021","09:50:00","1","159"
"01/23/2021","09:50:00","2","93"
"01/23/2021","09:50:00","4","145"
"01/23/2021","09:50:00","5","37"
"01/23/2021","09:50:00","6","182"
"01/23/2021","09:50:00","8","148"
"01/23/2021","09:50:00","9","159"
"01/23/2021","09:50:00","11","186"
"01/23/2021","09:50:00","12","186"
"01/23/2021","09:50:00","14","140"
"01/23/2021","09:50:00","15","115"
"01/23/2021","09:50:00","16","172"
"01/23/2021","09:50:00","17","217"
"01/23/2021","09:50:00","18","126"
"01/23/2021","09:50:00","19","207"
"01/23/2021","09:50:00","20","132"
"01/23/2021","09:50:00","21","85"
"01/23/2021","09:50:00","22","17"
"01/23/2021","09:50:00","24","167"
"01/23/2021","09:50:00","25","111"
