"Event Date","Event Time","Mill Number","One Minute Mean"
"05/19/2022","19:05:00","31","59"
"05/19/2022","19:05:00","32","45"
"05/19/2022","19:05:00","34","47"
"05/19/2022","19:05:00","35","41"
"05/19/2022","19:06:00","1","55"
"05/19/2022","19:06:00","2","37"
"05/19/2022","19:06:00","4","57"
"05/19/2022","19:06:00","5","28"
"05/19/2022","19:06:00","6","34"
"05/19/2022","19:06:00","7","36"
"05/19/2022","19:06:00","8","41"
"05/19/2022","19:06:00","9","44"
"05/19/2022","19:06:00","10","35"
"05/19/2022","19:06:00","11","31"
"05/19/2022","19:06:00","12","37"
"05/19/2022","19:06:00","14","49"
"05/19/2022","19:06:00","15","33"
"05/19/2022","19:06:00","16","59"
"05/19/2022","19:06:00","17","25"
"05/19/2022","19:06:00","18","23"
"05/19/2022","19:06:00","19","31"
"05/19/2022","19:06:00","20","30"
"05/19/2022","19:06:00","21","17"
"05/19/2022","19:06:00","22","21"
"05/19/2022","19:06:00","24","32"
"05/19/2022","19:06:00","25","63"
"05/19/2022","19:06:00","26","56"
"05/19/2022","19:06:00","28","40"
"05/19/2022","19:06:00","29","37"
"05/19/2022","19:06:00","30","44"
"05/19/2022","19:06:00","31","64"
"05/19/2022","19:06:00","32","51"
"05/19/2022","19:06:00","34","46"
"05/19/2022","19:06:00","35","40"
"05/19/2022","19:07:00","1","61"
"05/19/2022","19:07:00","2","40"
"05/19/2022","19:07:00","4","48"
"05/19/2022","19:07:00","5","28"
"05/19/2022","19:07:00","6","32"
"05/19/2022","19:07:00","7","34"
"05/19/2022","19:07:00","8","47"
"05/19/2022","19:07:00","9","45"
"05/19/2022","19:07:00","10","31"
"05/19/2022","19:07:00","11","33"
"05/19/2022","19:07:00","12","36"
"05/19/2022","19:07:00","14","50"
"05/19/2022","19:07:00","15","32"
"05/19/2022","19:07:00","16","56"
"05/19/2022","19:07:00","17","24"
"05/19/2022","19:07:00","18","22"
"05/19/2022","19:07:00","19","30"
"05/19/2022","19:07:00","20","30"
"05/19/2022","19:07:00","21","18"
"05/19/2022","19:07:00","22","22"
"05/19/2022","19:07:00","24","32"
"05/19/2022","19:07:00","25","57"
"05/19/2022","19:07:00","26","53"
"05/19/2022","19:07:00","28","44"
"05/19/2022","19:07:00","29","36"
"05/19/2022","19:07:00","30","45"
"05/19/2022","19:07:00","31","67"
"05/19/2022","19:07:00","32","51"
"05/19/2022","19:07:00","34","44"
"05/19/2022","19:07:00","35","38"
"05/19/2022","19:08:00","1","61"
"05/19/2022","19:08:00","2","38"
"05/19/2022","19:08:00","4","45"
"05/19/2022","19:08:00","5","30"
"05/19/2022","19:08:00","6","34"
"05/19/2022","19:08:00","7","33"
"05/19/2022","19:08:00","8","44"
"05/19/2022","19:08:00","9","43"
"05/19/2022","19:08:00","10","29"
"05/19/2022","19:08:00","11","33"
"05/19/2022","19:08:00","12","37"
"05/19/2022","19:08:00","14","45"
"05/19/2022","19:08:00","15","31"
"05/19/2022","19:08:00","16","52"
"05/19/2022","19:08:00","17","26"
"05/19/2022","19:08:00","18","22"
"05/19/2022","19:08:00","19","28"
"05/19/2022","19:08:00","20","28"
"05/19/2022","19:08:00","21","17"
"05/19/2022","19:08:00","22","20"
"05/19/2022","19:08:00","24","32"
"05/19/2022","19:08:00","25","54"
"05/19/2022","19:08:00","26","58"
"05/19/2022","19:08:00","28","42"
"05/19/2022","19:08:00","29","31"
"05/19/2022","19:08:00","30","41"
"05/19/2022","19:08:00","31","75"
"05/19/2022","19:08:00","32","51"
"05/19/2022","19:08:00","34","45"
"05/19/2022","19:08:00","35","46"
"05/19/2022","19:09:00","1","61"
"05/19/2022","19:09:00","2","38"
"05/19/2022","19:09:00","4","48"
"05/19/2022","19:09:00","5","29"
"05/19/2022","19:09:00","6","34"
"05/19/2022","19:09:00","7","32"
"05/19/2022","19:09:00","8","44"
"05/19/2022","19:09:00","9","41"
"05/19/2022","19:09:00","10","30"
"05/19/2022","19:09:00","11","36"
"05/19/2022","19:09:00","12","39"
"05/19/2022","19:09:00","14","41"
"05/19/2022","19:09:00","15","30"
"05/19/2022","19:09:00","16","58"
"05/19/2022","19:09:00","17","25"
"05/19/2022","19:09:00","18","22"
"05/19/2022","19:09:00","19","28"
"05/19/2022","19:09:00","20","28"
"05/19/2022","19:09:00","21","17"
"05/19/2022","19:09:00","22","19"
"05/19/2022","19:09:00","24","30"
"05/19/2022","19:09:00","25","54"
"05/19/2022","19:09:00","26","51"
"05/19/2022","19:09:00","28","42"
"05/19/2022","19:09:00","30","41"
"05/19/2022","19:09:00","31","66"
"05/19/2022","19:09:00","32","46"
"05/19/2022","19:09:00","34","45"
"05/19/2022","19:09:00","35","44"
"05/19/2022","19:10:00","1","62"
"05/19/2022","19:10:00","2","40"
"05/19/2022","19:10:00","4","49"
"05/19/2022","19:10:00","5","27"
"05/19/2022","19:10:00","6","33"
"05/19/2022","19:10:00","7","31"
"05/19/2022","19:10:00","8","47"
"05/19/2022","19:10:00","9","44"
"05/19/2022","19:10:00","10","33"
"05/19/2022","19:10:00","11","35"
"05/19/2022","19:10:00","12","38"
"05/19/2022","19:10:00","14","42"
"05/19/2022","19:10:00","15","28"
"05/19/2022","19:10:00","16","59"
"05/19/2022","19:10:00","17","25"
"05/19/2022","19:10:00","18","22"
"05/19/2022","19:10:00","19","22"
"05/19/2022","19:10:00","20","28"
"05/19/2022","19:10:00","21","16"
"05/19/2022","19:10:00","22","18"
"05/19/2022","19:10:00","24","29"
"05/19/2022","19:10:00","25","54"
"05/19/2022","19:10:00","26","53"
"05/19/2022","19:10:00","28","42"
"05/19/2022","19:10:00","30","41"
"05/19/2022","19:10:00","31","55"
"05/19/2022","19:10:00","32","43"
"05/19/2022","19:10:00","34","43"
"05/19/2022","19:10:00","35","41"
"05/19/2022","19:11:00","1","58"
"05/19/2022","19:11:00","2","41"
"05/19/2022","19:11:00","4","52"
"05/19/2022","19:11:00","5","27"
"05/19/2022","19:11:00","6","33"
"05/19/2022","19:11:00","7","31"
"05/19/2022","19:11:00","8","47"
"05/19/2022","19:11:00","9","47"
"05/19/2022","19:11:00","10","32"
"05/19/2022","19:11:00","11","34"
"05/19/2022","19:11:00","12","38"
"05/19/2022","19:11:00","14","44"
"05/19/2022","19:11:00","15","27"
"05/19/2022","19:11:00","16","55"
"05/19/2022","19:11:00","17","24"
"05/19/2022","19:11:00","18","22"
"05/19/2022","19:11:00","19","29"
"05/19/2022","19:11:00","20","28"
"05/19/2022","19:11:00","21","14"
"05/19/2022","19:11:00","22","18"
"05/19/2022","19:11:00","24","28"
"05/19/2022","19:11:00","25","55"
"05/19/2022","19:11:00","26","50"
"05/19/2022","19:11:00","28","37"
"05/19/2022","19:11:00","30","41"
"05/19/2022","19:11:00","31","54"
"05/19/2022","19:11:00","32","40"
"05/19/2022","19:11:00","34","42"
"05/19/2022","19:11:00","35","37"
"05/19/2022","19:12:00","1","54"
"05/19/2022","19:12:00","2","42"
"05/19/2022","19:12:00","4","53"
"05/19/2022","19:12:00","5","28"
"05/19/2022","19:12:00","6","33"
"05/19/2022","19:12:00","7","32"
"05/19/2022","19:12:00","8","43"
"05/19/2022","19:12:00","9","52"
"05/19/2022","19:12:00","10","35"
"05/19/2022","19:12:00","11","34"
"05/19/2022","19:12:00","12","39"
"05/19/2022","19:12:00","14","45"
"05/19/2022","19:12:00","15","27"
"05/19/2022","19:12:00","16","58"
"05/19/2022","19:12:00","17","22"
"05/19/2022","19:12:00","18","22"
"05/19/2022","19:12:00","19","28"
"05/19/2022","19:12:00","20","28"
"05/19/2022","19:12:00","21","14"
"05/19/2022","19:12:00","22","18"
"05/19/2022","19:12:00","24","28"
"05/19/2022","19:12:00","25","50"
"05/19/2022","19:12:00","26","48"
"05/19/2022","19:12:00","28","38"
"05/19/2022","19:12:00","30","43"
"05/19/2022","19:12:00","31","46"
"05/19/2022","19:12:00","32","40"
"05/19/2022","19:12:00","34","40"
"05/19/2022","19:12:00","35","43"
"05/19/2022","19:13:00","1","57"
"05/19/2022","19:13:00","2","45"
"05/19/2022","19:13:00","4","47"
"05/19/2022","19:13:00","5","28"
"05/19/2022","19:13:00","6","33"
"05/19/2022","19:13:00","7","29"
"05/19/2022","19:13:00","8","42"
"05/19/2022","19:13:00","9","53"
"05/19/2022","19:13:00","10","35"
"05/19/2022","19:13:00","11","35"
"05/19/2022","19:13:00","12","41"
"05/19/2022","19:13:00","14","45"
"05/19/2022","19:13:00","15","27"
"05/19/2022","19:13:00","16","59"
"05/19/2022","19:13:00","17","22"
"05/19/2022","19:13:00","18","23"
"05/19/2022","19:13:00","19","27"
"05/19/2022","19:13:00","20","30"
"05/19/2022","19:13:00","21","16"
"05/19/2022","19:13:00","22","18"
"05/19/2022","19:13:00","24","29"
"05/19/2022","19:13:00","25","41"
"05/19/2022","19:13:00","26","52"
"05/19/2022","19:13:00","28","41"
"05/19/2022","19:13:00","30","43"
"05/19/2022","19:13:00","31","40"
"05/19/2022","19:13:00","32","40"
"05/19/2022","19:13:00","34","45"
"05/19/2022","19:13:00","35","44"
"05/19/2022","19:14:00","1","55"
"05/19/2022","19:14:00","2","41"
"05/19/2022","19:14:00","4","51"
"05/19/2022","19:14:00","5","29"
"05/19/2022","19:14:00","6","34"
"05/19/2022","19:14:00","7","28"
"05/19/2022","19:14:00","8","45"
"05/19/2022","19:14:00","9","50"
"05/19/2022","19:14:00","10","37"
"05/19/2022","19:14:00","11","34"
"05/19/2022","19:14:00","12","42"
"05/19/2022","19:14:00","14","43"
"05/19/2022","19:14:00","15","27"
"05/19/2022","19:14:00","16","61"
"05/19/2022","19:14:00","17","23"
"05/19/2022","19:14:00","18","25"
