"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"04/01/2022","12:35:00","SLC 41","230","5","187","7","184","11","184","11","14","","","","",""
"04/01/2022","12:35:00","SLC 41","231","5","192","6","188","9","188","9","15","","","","",""
"04/01/2022","12:35:00","0110 NW  SE","6","5","","","","","","","","70.5","","70.2","99",""
"04/01/2022","12:35:00","0110 NW  SE","12","5","149","2","158","5","169","5","31","","","","",""
"04/01/2022","12:35:00","0110 NW  SE","54","5","161","4","171","7","171","7","49","71.2","0.7","71.2","100",""
"04/01/2022","12:35:00","0110 NW  SE","162","5","179","8","172","13","172","13","20","","","","",""
"04/01/2022","12:35:00","0110 NW  SE","204","5","176","8","175","14","175","14","20","70.4","","70.1","99",""
"04/01/2022","12:35:00","0313 NE  SW","6","5","","","","","","","","70.3","","70.0","99","1014.5"
"04/01/2022","12:35:00","0313 NE  SW","12","5","174","1","182","2","182","2","26","","","","",""
"04/01/2022","12:35:00","0313 NE  SW","54","5","176","3","198","5","198","5","14","70.5","0.2","70.2","99",""
"04/01/2022","12:35:00","0313 NE  SW","162","5","190","7","196","8","196","8","7","","","","",""
"04/01/2022","12:35:00","0313 NE  SW","204","5","198","8","196","9","196","9","7","71.6","","71.6","100",""
"04/01/2022","12:35:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"04/01/2022","12:35:00","0313 NE  SW","394","5","210","7","210","7","215","7","8","","","","",""
"04/01/2022","12:35:00","0313 NE  SW","492","5","","","","","","","","","","","98",""
"04/01/2022","12:35:00","0006 SE  SE","6","5","","","","","","","","70.3","","70.0","99",""
"04/01/2022","12:35:00","0006 SE  SE","12","5","143","4","136","6","136","6","42","","","","",""
"04/01/2022","12:35:00","0006 SE  SE","54","5","143","5","142","8","214","8","35","69.5","-0.8","69.2","99",""
"04/01/2022","12:35:00","0006 SE  SE","162","5","166","7","193","9","214","12","38","","","","",""
"04/01/2022","12:35:00","0006 SE  SE","204","5","170","6","154","9","209","12","36","69.6","","69.3","99",""
"04/01/2022","12:35:00","0110 SE  SE","6","5","","","","","","","","71.1","","","",""
"04/01/2022","12:35:00","0110 SE  SE","12","5","153","2","157","5","160","5","30","","","","",""
"04/01/2022","12:35:00","0110 SE  SE","54","5","171","4","182","7","175","7","25","71.0","-0.1","71.0","100",""
"04/01/2022","12:35:00","0110 SE  SE","162","5","177","7","188","13","188","13","17","","","","",""
"04/01/2022","12:35:00","0110 SE  SE","204","5","184","8","180","14","180","14","20","69.9","","69.6","99",""
"04/01/2022","12:35:00","0313 SW  SW","6","5","","","","","","","","70.1","","","",""
"04/01/2022","12:35:00","0313 SW  SW","12","5","168","1","155","3","155","3","29","","","","",""
"04/01/2022","12:35:00","0313 SW  SW","54","5","173","3","164","5","164","5","16","70.2","0.1","70.2","100",""
"04/01/2022","12:35:00","0313 SW  SW","162","5","196","7","199","8","199","8","8","","","","",""
"04/01/2022","12:35:00","0313 SW  SW","204","5","192","8","190","8","190","8","9","72.0","","72.0","100",""
"04/01/2022","12:35:00","0313 SW  SW","295","5","","","","","","","","","","","",""
"04/01/2022","12:35:00","0313 SW  SW","394","5","","","","","","","","","","","",""
"04/01/2022","12:35:00","0313 SW  SW","492","5","","","","","","","","","","","",""
"04/01/2022","12:35:00","0002 SE  NW","6","5","","","","","","","","70.3","","","",""
